"Site4","Date","Source","Max Temp","Min Temp","Avg Temp","HDDs","CDDs","Precipitation Water Equiv","Snowfall","Snow/Ice Depth"
"KLAX",1/20/1948 0:00:00,"NCDC-EstDew-EstWind",69,41,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",1/21/1948 0:00:00,"NCDC-EstDew-EstWind",66,39,52.50,12.50,0.00,0.00,0.00,0.00
"KLAX",1/22/1948 0:00:00,"NCDC-EstDew-EstWind",64,39,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",1/23/1948 0:00:00,"NCDC-EstDew-EstWind",,44,,0.00,0.00,0.00,0.00,0.00
"KLAX",1/24/1948 0:00:00,"NCDC-EstDew-EstWind",58,49,53.50,11.50,0.00,0.00,0.00,0.00
"KLAX",1/25/1948 0:00:00,"NCDC-EstDew-EstWind",60,51,55.50,9.50,0.00,0.00,0.00,0.00
"KLAX",1/26/1948 0:00:00,"NCDC-EstDew-EstWind",65,44,54.50,10.50,0.00,0.15,0.00,0.00
"KLAX",1/27/1948 0:00:00,"NCDC-EstDew-EstWind",59,39,49.00,16.00,0.00,0.00,0.00,0.00
"KLAX",1/28/1948 0:00:00,"NCDC-EstDew-EstWind",58,32,45.00,20.00,0.00,0.00,0.00,0.00
"KLAX",1/29/1948 0:00:00,"NCDC-EstDew-EstWind",60,38,49.00,16.00,0.00,0.00,0.00,0.00
"KLAX",1/30/1948 0:00:00,"NCDC-EstDew-EstWind",61,38,49.50,15.50,0.00,0.00,0.00,0.00
"KLAX",1/31/1948 0:00:00,"NCDC-EstDew-EstWind",60,39,49.50,15.50,0.00,0.00,0.00,0.00
"KLAX",2/1/1948 0:00:00,"NCDC-EstDew-EstWind",60,43,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/2/1948 0:00:00,"NCDC-EstDew-EstWind",56,40,48.00,17.00,0.00,0.00,0.00,0.00
"KLAX",2/3/1948 0:00:00,"NCDC-EstDew-EstWind",58,36,47.00,18.00,0.00,0.00,0.00,0.00
"KLAX",2/4/1948 0:00:00,"NCDC-EstDew-EstWind",60,36,48.00,17.00,0.00,0.12,0.00,0.00
"KLAX",2/5/1948 0:00:00,"NCDC-EstDew-EstWind",,45,,0.00,0.00,0.85,0.00,0.00
"KLAX",2/6/1948 0:00:00,"NCDC-EstDew-EstWind",56,42,49.00,16.00,0.00,0.03,0.00,0.00
"KLAX",2/7/1948 0:00:00,"NCDC-EstDew-EstWind",61,37,49.00,16.00,0.00,0.00,0.00,0.00
"KLAX",2/8/1948 0:00:00,"NCDC-EstDew-EstWind",64,38,51.00,14.00,0.00,0.00,0.00,0.00
"KLAX",2/9/1948 0:00:00,"NCDC-EstDew-EstWind",63,40,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/10/1948 0:00:00,"NCDC-EstDew-EstWind",59,45,52.00,13.00,0.00,0.00,0.00,0.00
"KLAX",2/11/1948 0:00:00,"NCDC-EstDew-EstWind",61,42,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/12/1948 0:00:00,"NCDC-EstDew-EstWind",60,34,47.00,18.00,0.00,0.00,0.00,0.00
"KLAX",2/13/1948 0:00:00,"NCDC-EstDew-EstWind",59,35,47.00,18.00,0.00,0.00,0.00,0.00
"KLAX",2/14/1948 0:00:00,"NCDC-EstDew-EstWind",66,39,52.50,12.50,0.00,0.00,0.00,0.00
"KLAX",2/15/1948 0:00:00,"NCDC-EstDew-EstWind",66,37,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/16/1948 0:00:00,"NCDC-EstDew-EstWind",81,43,62.00,3.00,0.00,0.00,0.00,0.00
"KLAX",2/17/1948 0:00:00,"NCDC-EstDew-EstWind",81,52,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",2/18/1948 0:00:00,"NCDC-EstDew-EstWind",60,49,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",2/19/1948 0:00:00,"NCDC-EstDew-EstWind",60,50,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",2/20/1948 0:00:00,"NCDC-EstDew-EstWind",62,48,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",2/21/1948 0:00:00,"NCDC-EstDew-EstWind",63,40,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/22/1948 0:00:00,"NCDC-EstDew-EstWind",64,48,56.00,9.00,0.00,0.00,0.00,0.00
"KLAX",2/23/1948 0:00:00,"NCDC-EstDew-EstWind",67,47,57.00,8.00,0.00,0.00,0.00,0.00
"KLAX",2/24/1948 0:00:00,"NCDC-EstDew-EstWind",67,49,58.00,7.00,0.00,0.00,0.00,0.00
"KLAX",2/25/1948 0:00:00,"NCDC-EstDew-EstWind",69,46,57.50,7.50,0.00,0.00,0.00,0.00
"KLAX",2/26/1948 0:00:00,"NCDC-EstDew-EstWind",60,43,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",2/27/1948 0:00:00,"NCDC-EstDew-EstWind",59,43,51.00,14.00,0.00,0.00,0.00,0.00
"KLAX",2/28/1948 0:00:00,"NCDC-EstDew-EstWind",58,48,53.00,12.00,0.00,0.00,0.00,0.00
"KLAX",2/29/1948 0:00:00,"NCDC-EstDew-EstWind",61,40,50.50,14.50,0.00,0.00,0.00,0.00
"KLAX",3/1/1948 0:00:00,"NCDC-EstDew-EstWind",61,46,53.50,11.50,0.00,0.00,0.00,0.00
"KLAX",3/2/1948 0:00:00,"NCDC-EstDew-EstWind",58,41,49.50,15.50,0.00,0.00,0.00,0.00
"KLAX",3/3/1948 0:00:00,"NCDC-EstDew-EstWind",61,44,52.50,12.50,0.00,0.00,0.00,0.00
"KLAX",3/4/1948 0:00:00,"NCDC-EstDew-EstWind",66,41,53.50,11.50,0.00,0.00,0.00,0.00
"KLAX",3/5/1948 0:00:00,"NCDC-EstDew-EstWind",66,40,53.00,12.00,0.00,0.00,0.00,0.00
"KLAX",3/6/1948 0:00:00,"NCDC-EstDew-EstWind",64,42,53.00,12.00,0.00,0.00,0.00,0.00
"KLAX",3/7/1948 0:00:00,"NCDC-EstDew-EstWind",63,44,53.50,11.50,0.00,0.00,0.00,0.00
"KLAX",3/8/1948 0:00:00,"NCDC-EstDew-EstWind",62,46,54.00,11.00,0.00,0.00,0.00,0.00
"KLAX",3/9/1948 0:00:00,"NCDC-EstDew-EstWind",62,48,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",3/10/1948 0:00:00,"NCDC-EstDew-EstWind",64,45,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",3/11/1948 0:00:00,"NCDC-EstDew-EstWind",70,47,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",3/12/1948 0:00:00,"NCDC-EstDew-EstWind",69,43,56.00,9.00,0.00,0.00,0.00,0.00
"KLAX",3/13/1948 0:00:00,"NCDC-EstDew-EstWind",60,43,51.50,13.50,0.00,0.47,0.00,0.00
"KLAX",3/14/1948 0:00:00,"NCDC-EstDew-EstWind",57,49,53.00,12.00,0.00,0.10,0.00,0.00
"KLAX",3/15/1948 0:00:00,"NCDC-EstDew-EstWind",60,42,51.00,14.00,0.00,0.00,0.00,0.00
"KLAX",3/16/1948 0:00:00,"NCDC-EstDew-EstWind",60,44,52.00,13.00,0.00,0.47,0.00,0.00
"KLAX",3/17/1948 0:00:00,"NCDC-EstDew-EstWind",57,46,51.50,13.50,0.00,0.21,0.00,0.00
"KLAX",3/18/1948 0:00:00,"NCDC-EstDew-EstWind",,42,,0.00,0.00,0.00,0.00,0.00
"KLAX",3/19/1948 0:00:00,"NCDC-EstDew-EstWind",54,42,48.00,17.00,0.00,0.28,0.00,0.00
"KLAX",3/20/1948 0:00:00,"NCDC-EstDew-EstWind",59,43,51.00,14.00,0.00,0.00,0.00,0.00
"KLAX",3/21/1948 0:00:00,"NCDC-EstDew-EstWind",,41,,0.00,0.00,0.00,0.00,0.00
"KLAX",3/22/1948 0:00:00,"NCDC-EstDew-EstWind",66,44,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",3/23/1948 0:00:00,"NCDC-EstDew-EstWind",61,42,51.50,13.50,0.00,0.00,0.00,0.00
"KLAX",3/24/1948 0:00:00,"NCDC-EstDew-EstWind",55,49,52.00,13.00,0.00,0.70,0.00,0.00
"KLAX",3/25/1948 0:00:00,"NCDC-EstDew-EstWind",57,42,49.50,15.50,0.00,0.00,0.00,0.00
"KLAX",3/26/1948 0:00:00,"NCDC-EstDew-EstWind",70,42,56.00,9.00,0.00,0.00,0.00,0.00
"KLAX",3/27/1948 0:00:00,"NCDC-EstDew-EstWind",73,48,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",3/28/1948 0:00:00,"NCDC-EstDew-EstWind",66,49,57.50,7.50,0.00,0.00,0.00,0.00
"KLAX",3/29/1948 0:00:00,"NCDC-EstDew-EstWind",65,52,58.50,6.50,0.00,0.01,0.00,0.00
"KLAX",3/30/1948 0:00:00,"NCDC-EstDew-EstWind",65,51,58.00,7.00,0.00,0.00,0.00,0.00
"KLAX",3/31/1948 0:00:00,"NCDC-EstDew-EstWind",66,51,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",4/1/1948 0:00:00,"NCDC-EstDew-EstWind",64,52,58.00,7.00,0.00,0.00,0.00,0.00
"KLAX",4/2/1948 0:00:00,"NCDC-EstDew-EstWind",60,51,55.50,9.50,0.00,0.09,0.00,0.00
"KLAX",4/3/1948 0:00:00,"NCDC-EstDew-EstWind",65,51,58.00,7.00,0.00,0.06,0.00,0.00
"KLAX",4/4/1948 0:00:00,"NCDC-EstDew-EstWind",62,43,52.50,12.50,0.00,0.00,0.00,0.00
"KLAX",4/5/1948 0:00:00,"NCDC-EstDew-EstWind",62,48,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",4/6/1948 0:00:00,"NCDC-EstDew-EstWind",62,50,56.00,9.00,0.00,0.00,0.00,0.00
"KLAX",4/7/1948 0:00:00,"NCDC-EstDew-EstWind",63,47,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",4/8/1948 0:00:00,"NCDC-EstDew-EstWind",66,47,56.50,8.50,0.00,0.00,0.00,0.00
"KLAX",4/9/1948 0:00:00,"NCDC-EstDew-EstWind",70,50,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",4/10/1948 0:00:00,"NCDC-EstDew-EstWind",64,55,59.50,5.50,0.00,0.11,0.00,0.00
"KLAX",4/11/1948 0:00:00,"NCDC-EstDew-EstWind",60,51,55.50,9.50,0.00,0.00,0.00,0.00
"KLAX",4/12/1948 0:00:00,"NCDC-EstDew-EstWind",64,45,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",4/13/1948 0:00:00,"NCDC-EstDew-EstWind",72,45,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",4/14/1948 0:00:00,"NCDC-EstWindFilledDew",80,,,0.00,0.00,0.00,0.00,0.00
"KLAX",4/15/1948 0:00:00,"NCDC-EstDew-EstWind",84,59,71.50,0.00,6.50,0.00,0.00,0.00
"KLAX",4/16/1948 0:00:00,"NCDC-EstDew-EstWind",85,52,68.50,0.00,3.50,0.00,0.00,0.00
"KLAX",4/17/1948 0:00:00,"NCDC-EstDew-EstWind",77,53,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",4/18/1948 0:00:00,"NCDC-EstDew-EstWind",69,51,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",4/19/1948 0:00:00,"NCDC-EstDew-EstWind",65,53,59.00,6.00,0.00,0.00,0.00,0.00
"KLAX",4/20/1948 0:00:00,"NCDC-EstDew-EstWind",64,53,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",4/21/1948 0:00:00,"NCDC-EstDew-EstWind",65,54,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",4/22/1948 0:00:00,"NCDC-EstDew-EstWind",64,51,57.50,7.50,0.00,0.04,0.00,0.00
"KLAX",4/23/1948 0:00:00,"NCDC-EstDew-EstWind",65,50,57.50,7.50,0.00,0.00,0.00,0.00
"KLAX",4/24/1948 0:00:00,"NCDC-EstDew-EstWind",69,50,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",4/25/1948 0:00:00,"NCDC-EstDew-EstWind",72,50,61.00,4.00,0.00,0.00,0.00,0.00
"KLAX",4/26/1948 0:00:00,"NCDC-EstDew-EstWind",68,53,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",4/27/1948 0:00:00,"NCDC-EstDew-EstWind",72,56,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",4/28/1948 0:00:00,"NCDC-EstDew-EstWind",62,52,57.00,8.00,0.00,0.33,0.00,0.00
"KLAX",4/29/1948 0:00:00,"NCDC-EstDew-EstWind",60,44,52.00,13.00,0.00,0.00,0.00,0.00
"KLAX",4/30/1948 0:00:00,"NCDC-EstDew-EstWind",63,50,56.50,8.50,0.00,0.00,0.00,0.00
"KLAX",5/1/1948 0:00:00,"NCDC-EstDew-EstWind",69,48,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",5/2/1948 0:00:00,"NCDC-EstDew-EstWind",65,50,57.50,7.50,0.00,0.00,0.00,0.00
"KLAX",5/3/1948 0:00:00,"NCDC-EstDew-EstWind",74,50,62.00,3.00,0.00,0.00,0.00,0.00
"KLAX",5/4/1948 0:00:00,"NCDC-EstDew-EstWind",77,55,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",5/5/1948 0:00:00,"NCDC-EstDew-EstWind",76,56,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",5/6/1948 0:00:00,"NCDC-EstDew-EstWind",67,56,61.50,3.50,0.00,0.00,0.00,0.00
"KLAX",5/7/1948 0:00:00,"NCDC-EstDew-EstWind",67,54,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",5/8/1948 0:00:00,"NCDC-EstDew-EstWind",67,51,59.00,6.00,0.00,0.00,0.00,0.00
"KLAX",5/9/1948 0:00:00,"NCDC-EstDew-EstWind",66,53,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",5/10/1948 0:00:00,"NCDC-EstDew-EstWind",67,50,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",5/11/1948 0:00:00,"NCDC-EstDew-EstWind",67,51,59.00,6.00,0.00,0.00,0.00,0.00
"KLAX",5/12/1948 0:00:00,"NCDC-EstDew-EstWind",69,50,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",5/13/1948 0:00:00,"NCDC-EstDew-EstWind",72,53,62.50,2.50,0.00,0.00,0.00,0.00
"KLAX",5/14/1948 0:00:00,"NCDC-EstDew-EstWind",72,53,62.50,2.50,0.00,0.00,0.00,0.00
"KLAX",5/15/1948 0:00:00,"NCDC-EstDew-EstWind",75,56,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",5/16/1948 0:00:00,"NCDC-EstDew-EstWind",75,54,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",5/17/1948 0:00:00,"NCDC-EstDew-EstWind",,53,,0.00,0.00,0.00,0.00,0.00
"KLAX",5/18/1948 0:00:00,"NCDC-EstDew-EstWind",61,52,56.50,8.50,0.00,0.00,0.00,0.00
"KLAX",5/19/1948 0:00:00,"NCDC-EstDew-EstWind",62,48,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",5/20/1948 0:00:00,"NCDC-EstDew-EstWind",63,46,54.50,10.50,0.00,0.00,0.00,0.00
"KLAX",5/21/1948 0:00:00,"NCDC-EstDew-EstWind",64,46,55.00,10.00,0.00,0.00,0.00,0.00
"KLAX",5/22/1948 0:00:00,"NCDC-EstDew-EstWind",71,49,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",5/23/1948 0:00:00,"NCDC-EstDew-EstWind",67,55,61.00,4.00,0.00,0.00,0.00,0.00
"KLAX",5/24/1948 0:00:00,"NCDC-EstDew-EstWind",65,55,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",5/25/1948 0:00:00,"NCDC-EstDew-EstWind",65,55,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",5/26/1948 0:00:00,"NCDC-EstDew-EstWind",66,55,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",5/27/1948 0:00:00,"NCDC-EstDew-EstWind",66,55,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",5/28/1948 0:00:00,"NCDC-EstDew-EstWind",69,52,60.50,4.50,0.00,0.00,0.00,0.00
"KLAX",5/29/1948 0:00:00,"NCDC-EstDew-EstWind",68,51,59.50,5.50,0.00,0.00,0.00,0.00
"KLAX",5/30/1948 0:00:00,"NCDC-EstDew-EstWind",66,51,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",5/31/1948 0:00:00,"NCDC-EstDew-EstWind",67,57,62.00,3.00,0.00,0.00,0.00,0.00
"KLAX",6/1/1948 0:00:00,"NCDC-EstDew-EstWind",,57,,0.00,0.00,0.03,0.00,0.00
"KLAX",6/2/1948 0:00:00,"NCDC-EstDew-EstWind",65,56,60.50,4.50,0.00,0.01,0.00,0.00
"KLAX",6/3/1948 0:00:00,"NCDC-EstDew-EstWind",68,52,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",6/4/1948 0:00:00,"NCDC-EstDew-EstWind",64,56,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",6/5/1948 0:00:00,"NCDC-EstDew-EstWind",66,51,58.50,6.50,0.00,0.00,0.00,0.00
"KLAX",6/6/1948 0:00:00,"NCDC-EstDew-EstWind",69,51,60.00,5.00,0.00,0.00,0.00,0.00
"KLAX",6/7/1948 0:00:00,"NCDC-EstDew-EstWind",69,57,63.00,2.00,0.00,0.00,0.00,0.00
"KLAX",6/8/1948 0:00:00,"NCDC-EstDew-EstWind",69,57,63.00,2.00,0.00,0.00,0.00,0.00
"KLAX",6/9/1948 0:00:00,"NCDC-EstDew-EstWind",71,54,62.50,2.50,0.00,0.00,0.00,0.00
"KLAX",6/10/1948 0:00:00,"NCDC-EstDew-EstWind",71,58,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",6/11/1948 0:00:00,"NCDC-EstDew-EstWind",73,55,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",6/12/1948 0:00:00,"NCDC-EstDew-EstWind",71,56,63.50,1.50,0.00,0.00,0.00,0.00
"KLAX",6/13/1948 0:00:00,"NCDC-EstDew-EstWind",72,54,63.00,2.00,0.00,0.00,0.00,0.00
"KLAX",6/14/1948 0:00:00,"NCDC-EstDew-EstWind",71,54,62.50,2.50,0.00,0.00,0.00,0.00
"KLAX",6/15/1948 0:00:00,"NCDC-EstDew-EstWind",70,56,63.00,2.00,0.00,0.00,0.00,0.00
"KLAX",6/16/1948 0:00:00,"NCDC-EstDew-EstWind",73,57,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/17/1948 0:00:00,"NCDC-EstDew-EstWind",72,56,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",6/18/1948 0:00:00,"NCDC-EstDew-EstWind",72,58,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/19/1948 0:00:00,"NCDC-EstDew-EstWind",72,55,63.50,1.50,0.00,0.00,0.00,0.00
"KLAX",6/20/1948 0:00:00,"NCDC-EstDew-EstWind",69,54,61.50,3.50,0.00,0.00,0.00,0.00
"KLAX",6/21/1948 0:00:00,"NCDC-EstDew-EstWind",73,59,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",6/22/1948 0:00:00,"NCDC-EstDew-EstWind",73,57,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/23/1948 0:00:00,"NCDC-EstDew-EstWind",71,57,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",6/24/1948 0:00:00,"NCDC-EstDew-EstWind",72,61,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",6/25/1948 0:00:00,"NCDC-EstDew-EstWind",69,61,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/26/1948 0:00:00,"NCDC-EstDew-EstWind",68,60,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",6/27/1948 0:00:00,"NCDC-EstDew-EstWind",70,60,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/28/1948 0:00:00,"NCDC-EstDew-EstWind",70,57,63.50,1.50,0.00,0.00,0.00,0.00
"KLAX",6/29/1948 0:00:00,"NCDC-EstDew-EstWind",70,60,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",6/30/1948 0:00:00,"NCDC-EstDew-EstWind",70,60,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",7/1/1948 0:00:00,"NCDC-EstDew-EstWind",70,59,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",7/2/1948 0:00:00,"NCDC-EstDew-EstWind",74,60,67.00,0.00,2.00,0.00,0.00,0.00
"KLAX",7/3/1948 0:00:00,"NCDC-EstDew-EstWind",72,59,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/4/1948 0:00:00,"NCDC-EstDew-EstWind",74,54,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",7/5/1948 0:00:00,"NCDC-EstDew-EstWind",76,53,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",7/6/1948 0:00:00,"NCDC-EstDew-EstWind",75,52,63.50,1.50,0.00,0.00,0.00,0.00
"KLAX",7/7/1948 0:00:00,"NCDC-EstDew-EstWind",78,53,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/8/1948 0:00:00,"NCDC-EstDew-EstWind",75,56,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/9/1948 0:00:00,"NCDC-EstDew-EstWind",76,57,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",7/10/1948 0:00:00,"NCDC-EstDew-EstWind",79,57,68.00,0.00,3.00,0.00,0.00,0.00
"KLAX",7/11/1948 0:00:00,"NCDC-EstDew-EstWind",75,60,67.50,0.00,2.50,0.00,0.00,0.00
"KLAX",7/12/1948 0:00:00,"NCDC-EstDew-EstWind",74,60,67.00,0.00,2.00,0.00,0.00,0.00
"KLAX",7/13/1948 0:00:00,"NCDC-EstDew-EstWind",74,59,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",7/14/1948 0:00:00,"NCDC-EstDew-EstWind",69,58,63.50,1.50,0.00,0.00,0.00,0.00
"KLAX",7/15/1948 0:00:00,"NCDC-EstDew-EstWind",68,57,62.50,2.50,0.00,0.00,0.00,0.00
"KLAX",7/16/1948 0:00:00,"NCDC-EstDew-EstWind",70,58,64.00,1.00,0.00,0.00,0.00,0.00
"KLAX",7/17/1948 0:00:00,"NCDC-EstDew-EstWind",72,59,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/18/1948 0:00:00,"NCDC-EstDew-EstWind",71,60,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/19/1948 0:00:00,"NCDC-EstDew-EstWind",72,60,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",7/20/1948 0:00:00,"NCDC-EstDew-EstWind",71,61,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",7/21/1948 0:00:00,"NCDC-EstDew-EstWind",72,60,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",7/22/1948 0:00:00,"NCDC-EstDew-EstWind",70,59,64.50,0.50,0.00,0.00,0.00,0.00
"KLAX",7/23/1948 0:00:00,"NCDC-EstDew-EstWind",71,60,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/24/1948 0:00:00,"NCDC-EstDew-EstWind",74,59,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",7/25/1948 0:00:00,"NCDC-EstDew-EstWind",74,56,65.00,0.00,0.00,0.00,0.00,0.00
"KLAX",7/26/1948 0:00:00,"NCDC-EstDew-EstWind",74,59,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",7/27/1948 0:00:00,"NCDC-EstDew-EstWind",73,60,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",7/28/1948 0:00:00,"NCDC-EstDew-EstWind",74,60,67.00,0.00,2.00,0.00,0.00,0.00
"KLAX",7/29/1948 0:00:00,"NCDC-EstDew-EstWind",73,61,67.00,0.00,2.00,0.00,0.00,0.00
"KLAX",7/30/1948 0:00:00,"NCDC-EstDew-EstWind",75,56,65.50,0.00,0.50,0.00,0.00,0.00
"KLAX",7/31/1948 0:00:00,"NCDC-EstDew-EstWind",78,60,69.00,0.00,4.00,0.00,0.00,0.00
"KLAX",8/1/1948 0:00:00,"NCDC-EstDew-EstWind",76,61,68.50,0.00,3.50,0.00,0.00,0.00
"KLAX",8/2/1948 0:00:00,"NCDC-EstDew-EstWind",74,62,68.00,0.00,3.00,0.00,0.00,0.00
"KLAX",8/3/1948 0:00:00,"NCDC-EstDew-EstWind",75,62,68.50,0.00,3.50,0.00,0.00,0.00
"KLAX",8/4/1948 0:00:00,"NCDC-EstDew-EstWind",73,61,67.00,0.00,2.00,0.00,0.00,0.00
"KLAX",8/5/1948 0:00:00,"NCDC-EstDew-EstWind",72,60,66.00,0.00,1.00,0.00,0.00,0.00
"KLAX",8/6/1948 0:00:00,"NCDC-EstDew-EstWind",73,60,66.50,0.00,1.50,0.00,0.00,0.00
"KLAX",8/7/1948 0:00:00,"NCDC-EstDew-EstWind",71,58,64.50,0.50,0.00,0.00,0.00,0.00
